
*******************************************************************************
 Revised: Sep 13, 2021     Spitzer Space Telescope (SST) / (Sun)            -79
                              http://spitzer.caltech.edu/

 NOTE:
  - The final Spitzer science observations began 2020-Jan-28
  - On 2020-Jan-30, the mission was completed, the spacecraft decommissioned
     and placed in a permanent storage mode.
  - The spacecraft will drift in its Earth trailing orbit until eventually
     returning to the vicinity of Earth in ~2051.

 Spitzer Space Telescope
  Launched: Aug 25, 2003
  Renamed : Dec 18, 2003 (formerly "SIRTF": Space Infrared Telescope Facility)

 EXTENDED MISSION (2009-present):
  Cryogen depletion occurred 2009-May-15. A 2-year extended "warm" mission
  will continue operating the 3.6 and 4.5 micron channels on the IRAC
  instrument with expected sensitivity unchanged from performance in the
  cryogenic mission. The longer wavelength IRAC channels (5.6 and 8.0 microns)
  and the MIPS and IRS instruments will be unavailable.

 PRIME MISSION (2003-2009):
  Spitzer will obtain images and spectra by detecting infrared (heat) energy,
  having wavelengths of 3 and 180 microns, radiated by objects in space.  Most
  of this infrared radiation is blocked by the Earth's atmosphere and cannot be
  observed from the ground.  The telescope must be cooled to near absolute zero
  (-459 degrees F, or -273 degrees Celsius) to record infrared from distant
  regions of space without interference from the telescope's own heat.

 SPACECRAFT:
  0.85-meter telescope
  3 cryogenically-cooled science instruments
  2 solar panels composed of 392 solar cells, producing 427 Watts.
  Each solar cell is 5.5 x 6.5 cm. Each panel is 50% covered by solar cells,
   and 50% covered by optical reflectors to reduce panel temp to 330 K.
  Spitzer cannot point more than 120 degrees away from the sun and maintain
   adequate power levels.

 SPACECRAFT TRAJECTORY:
   Trajectory was created 2020-Feb-07 11:45:41 and is based on 2-way
   Doppler tracking data available up until the spacecraft was placed in
   final safe mode at 2020-Jan-30 22:30 UTC. The trajectory after that
   is a nominal long-term prediction.
*******************************************************************************


*******************************************************************************
Ephemeris / MAIL_REQUEST Tue Feb 10 12:31:38 2026 Pasadena, USA  / Horizons   
*******************************************************************************
Target body name: Spitzer Space Telescope (spacecraft) (-79) {source: SPITZER_merge_2003-2120}
Center body name: Earth (399)                     {source: SPITZER_merge_2003-2120}
Center-site name: GEOCENTRIC
*******************************************************************************
Start time      : A.D. 2014-Jan-01 00:00:00.0000 UT     
Stop  time      : A.D. 2020-Jan-01 00:00:00.0000 UT     
Step-size       : 1440 minutes
*******************************************************************************
Target pole/equ : undefined
Target radii    : undefined                                                   
Center geodetic : 0.0, 0.0, -6378.137             {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : ITRF93                          {East-longitude positive}
Center radii    : 6378.137, 6378.137, 6356.752 km {Equator_a, b, pole_c}       
Target primary  : Earth
Vis. interferer : MOON (R_eq= 1737.400) km        {source: DE441}
Rel. light bend : Sun                             {source: SPITZER_merge_2003-2
Rel. lght bnd GM: 1.3271E+11 km^3/s^2                                         
Atmos refraction: NO (AIRLESS)
RA format       : HMS
Time format     : CAL
Calendar mode   : Mixed Julian/Gregorian
EOP file        : eop.260209.p260508                                           
EOP coverage    : DATA-BASED 1962-JAN-20 TO 2026-FEB-09. PREDICTS-> 2026-MAY-07
Units conversion: 1 au= 149597870.700 km, c= 299792.458 km/s, 1 day= 86400.0 s
Table cut-offs 1: Elevation (-90.0deg=NO ),Airmass (>38.000=NO), Daylight (NO )
Table cut-offs 2: Solar elongation (  0.0,180.0=NO ),Local Hour Angle( 0.0=NO )
Table cut-offs 3: RA/DEC angular rate (     0.0=NO )                           
*******************************************************************************************
 Date__(UT)__HR:MN     R.A._____(ICRF)_____DEC             delta      deldot  1-way_down_LT
*******************************************************************************************
$$SOE
 2014-Jan-01 00:00     22 18 48.47 -09 34 50.3  1.25058469919534   1.4375452    10.40079579
 2014-Jan-02 00:00     22 22 30.05 -09 13 20.6  1.25141337071542   1.4317135    10.40768764
 2014-Jan-03 00:00     22 26 11.18 -08 51 42.5  1.25223844115566   1.4251018    10.41454954
 2014-Jan-04 00:00     22 29 51.86 -08 29 56.3  1.25305950933363   1.4178874    10.42137816
 2014-Jan-05 00:00     22 33 32.11 -08 08 02.5  1.25387628395598   1.4102675    10.42817107
 2014-Jan-06 00:00     22 37 11.94 -07 46 01.4  1.25468858550356   1.4024271    10.43492677
 2014-Jan-07 00:00     22 40 51.36 -07 23 53.3  1.25549633196052   1.3945165    10.44164460
 2014-Jan-08 00:00     22 44 30.39 -07 01 38.7  1.25629951639874   1.3866453    10.44832448
 2014-Jan-09 00:00     22 48 09.03 -06 39 17.9  1.25709818390197   1.3788853    10.45496679
 2014-Jan-10 00:00     22 51 47.32 -06 16 51.2  1.25789241222573   1.3712792    10.46157219
 2014-Jan-11 00:00     22 55 25.26 -05 54 19.1  1.25868229748947   1.3638491    10.46814146
 2014-Jan-12 00:00     22 59 02.87 -05 31 41.8  1.25946794426987   1.3566032    10.47467549
 2014-Jan-13 00:00     23 02 40.16 -05 08 59.8  1.26024945872546   1.3495393    10.48117515
 2014-Jan-14 00:00     23 06 17.17 -04 46 13.3  1.26102694339665   1.3426471    10.48764129
 2014-Jan-15 00:00     23 09 53.89 -04 23 22.6  1.26180049268561   1.3359088    10.49407470
 2014-Jan-16 00:00     23 13 30.37 -04 00 28.3  1.26257018846275   1.3292989    10.50047607
 2014-Jan-17 00:00     23 17 06.61 -03 37 30.5  1.26333609562916   1.3227840    10.50684592
 2014-Jan-18 00:00     23 20 42.64 -03 14 29.6  1.26409825771055   1.3163236    10.51318463
 2014-Jan-19 00:00     23 24 18.47 -02 51 26.0  1.26485669263452   1.3098696    10.51949234
 2014-Jan-20 00:00     23 27 54.14 -02 28 19.9  1.26561138875846   1.3033678    10.52576896
 2014-Jan-21 00:00     23 31 29.65 -02 05 11.8  1.26636230102230   1.2967567    10.53201410
 2014-Jan-22 00:00     23 35 05.03 -01 42 01.9  1.26710934688282   1.2899676    10.53822710
 2014-Jan-23 00:00     23 38 40.31 -01 18 50.6  1.26785240155096   1.2829227    10.54440689
 2014-Jan-24 00:00     23 42 15.51 -00 55 38.1  1.26859129211736   1.2755329    10.55055206
 2014-Jan-25 00:00     23 45 50.64 -00 32 24.9  1.26932579054462   1.2676962    10.55666070
 2014-Jan-26 00:00     23 49 25.74 -00 09 11.3  1.27005560635365   1.2592989    10.56273039
 2014-Jan-27 00:00     23 53 00.82 +00 14 02.5  1.27078038117670   1.2502212    10.56875816
 2014-Jan-28 00:00     23 56 35.90 +00 37 16.0  1.27149968892142   1.2403513    10.57474046
 2014-Jan-29 00:00     00 00 11.01 +01 00 29.0  1.27221304622971   1.2296070    10.58067327
 2014-Jan-30 00:00     00 03 46.16 +01 23 41.1  1.27291993677722   1.2179603    10.58655230
 2014-Jan-31 00:00     00 07 21.38 +01 46 51.9  1.27361984866833   1.2054563    10.59237329
 2014-Feb-01 00:00     00 10 56.67 +02 10 01.2  1.27431231781325   1.1922138    10.59813238
 2014-Feb-02 00:00     00 14 32.07 +02 33 08.4  1.27499696563036   1.1784053    10.60382642
 2014-Feb-03 00:00     00 18 07.57 +02 56 13.4  1.27567352066784   1.1642233    10.60945316
 2014-Feb-04 00:00     00 21 43.20 +03 19 15.6  1.27634182055767   1.1498483    10.61501124
