sweep,best_lp,median_lp,best_minus_median,accept,pop_spread,elapsed_s
1,123322.6715,86584.9971,36737.6744,0.4815,1.01257,8.4
2,123322.6715,94116.9963,29205.6752,0.4444,1.05385,16.6
3,123322.6715,97619.4886,25703.1829,0.3519,1.1125,24.3
4,123322.6715,99411.5001,23911.1714,0.2963,1.14645,32.5
5,123530.0758,104683.7083,18846.3675,0.3519,1.19024,40.4
6,123530.0758,107834.9622,15695.1136,0.3333,1.24098,48.4
7,123530.0758,110362.9449,13167.1308,0.2593,1.27334,55.9
8,123530.0758,111876.7755,11653.3002,0.2778,1.2915,64.0
9,123530.0758,114567.1548,8962.9210,0.1667,1.30747,71.7
10,123530.0758,114805.7033,8724.3725,0.1852,1.32325,79.4
11,124038.1305,115058.0191,8980.1114,0.1296,1.33645,87.0
12,124038.1305,115058.0191,8980.1114,0.1852,1.37012,94.5
13,124038.1305,115584.1084,8454.0222,0.1667,1.39728,102.0
14,124038.1305,116113.4205,7924.7100,0.2593,1.41654,109.6
15,124038.1305,116292.1667,7745.9639,0.1111,1.42939,117.1
16,124038.1305,116593.1297,7445.0008,0.1111,1.45359,124.5
17,124038.1305,117150.3563,6887.7742,0.1481,1.49065,132.0
18,124038.1305,117528.2806,6509.8499,0.0926,1.51347,139.8
19,124038.1305,117682.9055,6355.2250,0.1296,1.53375,147.5
20,124038.1305,118061.9935,5976.1371,0.1111,1.54944,155.2
21,124038.1305,118373.3788,5664.7517,0.1481,1.55657,163.0
22,124038.1305,118588.8683,5449.2622,0.1111,1.56854,170.6
23,124038.1305,118853.1088,5185.0218,0.0741,1.57576,178.6
24,124038.1305,119280.8811,4757.2494,0.1667,1.592,186.2
25,124038.1305,119341.1245,4697.0060,0.1111,1.61267,193.8
26,124038.1305,119527.5403,4510.5902,0.1296,1.61117,201.4
27,124038.1305,119571.0123,4467.1182,0.0741,1.61312,209.1
28,124038.1305,119571.0123,4467.1182,0.0185,1.61472,216.9
29,124038.1305,119620.0909,4418.0396,0.0926,1.61455,224.8
30,124038.1305,119643.0535,4395.0770,0.0926,1.62276,232.5
31,124038.1305,119771.3731,4266.7574,0.0556,1.63586,240.2
32,124038.1305,119771.3731,4266.7574,0.0185,1.63941,247.9
33,124038.1305,119771.3731,4266.7574,0.0741,1.66547,255.6
34,124038.1305,119771.3731,4266.7574,0.0741,1.65522,263.7
35,124038.1305,119771.3731,4266.7574,0.0741,1.65271,271.2
36,124038.1305,119908.4861,4129.6444,0.0370,1.66356,278.7
37,124038.1305,119908.4861,4129.6444,0.0556,1.66713,286.2
38,124038.1305,119908.4861,4129.6444,0.1296,1.67759,294.1
39,124038.1305,120068.0386,3970.0919,0.1111,1.68751,301.7
40,124038.1305,120068.0386,3970.0919,0.0926,1.69059,309.2
41,124038.1305,120068.0386,3970.0919,0.0926,1.69212,316.6
42,124038.1305,120344.5572,3693.5734,0.1296,1.70385,324.2
43,124038.1305,120470.3111,3567.8194,0.0741,1.71491,331.5
44,124038.1305,120966.7433,3071.3872,0.1111,1.71217,338.8
45,124406.9187,121021.0773,3385.8414,0.0741,1.72143,346.6
46,124406.9187,121021.0773,3385.8414,0.0185,1.72883,354.2
47,124406.9187,121154.9618,3251.9569,0.1111,1.73162,361.4
48,124406.9187,121275.3493,3131.5693,0.1111,1.75404,368.6
49,124406.9187,121275.3493,3131.5693,0.0185,1.75564,376.0
50,124406.9187,121308.9728,3097.9459,0.0556,1.77265,383.4
51,124406.9187,121308.9728,3097.9459,0.0926,1.79584,390.3
52,124406.9187,121405.3087,3001.6100,0.0556,1.79284,397.3
53,124406.9187,121544.8558,2862.0629,0.1296,1.79057,404.6
54,124406.9187,121544.8558,2862.0629,0.0185,1.79264,411.8
55,124406.9187,121544.8558,2862.0629,0.0185,1.79685,419.2
56,124406.9187,121651.0386,2755.8801,0.1481,1.80518,426.4
57,124965.2239,121758.7469,3206.4770,0.0556,1.82754,434.0
58,124965.2239,121758.7469,3206.4770,0.0556,1.82903,441.5
59,124965.2239,121758.7469,3206.4770,0.0926,1.83875,449.1
60,124965.2239,121758.7469,3206.4770,0.0741,1.85827,456.0
61,124965.2239,121824.8530,3140.3709,0.1111,1.87597,463.7
62,124965.2239,121824.8530,3140.3709,0.0926,1.89244,471.1
