# GOST forecast for Gaia BH1 (ra=262.17120816, dec=-0.58109202), one row per FoV transit
# BJD_TDB(barycentre) scanAngle[rad] parallaxFactorAlongScan
2456914.98356787 -0.7257305842 0.7198709005
2456915.05757380 -0.7261898634 0.7198551377
2456949.61546969 -0.7989331866 0.4909762307
2457073.44646821 -2.2115955023 -0.6228759898
2457103.11115366 2.3641916401 0.6951116534
2457103.18514499 2.3649672508 0.6940927879
2457125.11114171 -2.6673304009 -0.5310611172
2457125.18516038 -2.6646465275 -0.5331083291
2457272.42922991 -0.6664112747 0.7097992453
2457272.50323577 -0.6660945422 0.7093197974
2457305.23350966 0.5899207736 -0.6062043394
2457305.40964725 0.5811897309 -0.6002176779
2457324.16241218 -0.7007180136 0.3126201054
2457324.23641928 -0.7053304778 0.3150296199
2457449.17201722 -2.2420880967 -0.6838452767
2457482.90169204 2.3283408514 0.6087478945
2457482.97571074 2.3311156661 0.6061097362
2457499.73009544 -2.8949464214 -0.3895075819
2457499.90626069 -2.8862504338 -0.3962367428
2457598.00482321 0.0857637169 0.2639317063
2457598.25497261 0.1002729807 0.2521274845
2457598.32897964 0.1045994871 0.2485872659
2457610.50902796 0.9073212235 -0.4936379720
2457610.58300627 0.9112953987 -0.4973155153
2457610.75917403 0.9206360179 -0.5059777035
2457648.47653979 -0.7445419273 0.7167310100
2457688.02660196 0.1946703173 -0.3589715051
2457688.20274352 0.1822433454 -0.3507433684
2457688.27675128 0.1770067647 -0.3472758061
2457688.45289043 0.1645088843 -0.3389993008
2457688.52689721 0.1592436416 -0.3355122652
2457695.95679879 -0.3832474844 0.0099878102
2457696.03080634 -0.3885831222 0.0130776270
2457696.20694718 -0.4012667697 0.0203859513
2457696.28092739 -0.4065874567 0.0234362153
2457696.45709861 -0.4192420617 0.0306535806
2457696.53110795 -0.4245516025 0.0336660087
2457776.05589268 -2.4635660418 -0.1394073180
2457776.23205761 -2.4759302669 -0.1327731106
2457776.30607504 -2.4811344045 -0.1299626858
2457776.48223683 -2.4935422955 -0.1232188980
2457788.48874856 2.9137801135 0.4452432351
2457788.56276752 2.9088373877 0.4485409407
2457824.85261124 -2.2988659107 -0.7055238419
2457863.24978306 2.3662817283 0.4276538280
2457863.32380170 2.3707515076 0.4236307507
2457873.07921408 3.0395274916 -0.1751569714
2457873.25534760 3.0506608183 -0.1842647427
2457873.32939425 3.0553161801 -0.1880567027
2457972.10400095 -0.2096741908 0.4455463263
2457972.17800882 -0.2063722810 0.4429749367
2458024.33139520 -0.7912532948 0.6800595218
2458024.40540096 -0.7930822110 0.6808095154
2458149.40999479 -2.2765713608 -0.3671106928
2458149.58615883 -2.2871996806 -0.3617229065
2458169.84013690 2.6119722765 0.6319273623
2458169.91418504 2.6087437332 0.6340697840
2458200.65160696 -2.3850369465 -0.6876046418
2458347.22226668 -0.4106607035 0.5701689013
2458371.14290078 0.8743424817 -0.7168351742
2458524.20861978 -2.2127316113 -0.5233876404
2458524.38478651 -2.2212810395 -0.5192390745
2458549.88198106 2.4535700836 0.7071989819
2458576.19976191 -2.5039162990 -0.6303567018
2458710.10117666 0.9233061292 -0.5417833923
2458710.17518397 0.9199476431 -0.5401288244
2458736.96312370 -0.6951646374 0.7099636014
2458763.42943265 0.6280547605 -0.6275384268
2458763.50343878 0.6297953726 -0.6288949437
2458903.12376740 2.5743031458 0.6563357186
2458930.92402264 -2.3821452849 -0.6930436010
2458955.38606524 2.3489622022 0.4875577943
2458955.46011209 2.3451835993 0.4894662773
2459078.64719731 -0.4270701217 0.5782165546
2459078.72117585 -0.4248158104 0.5764678430
2459102.89110110 0.8667109698 -0.7137700047
2459102.96510696 0.8667442540 -0.7141727436
2459131.70234117 -0.8109590490 0.5888208047
2459255.70796078 -2.2134448168 -0.5392020980
2459255.88412647 -2.2218067070 -0.5351372269
2459281.63045783 2.4444941102 0.7119082168
2459281.70447740 2.4434269826 0.7123835433
2459307.62492313 -2.5175033547 -0.6263325218
2459482.92972954 0.7569250355 -0.6919162300
2459483.00373567 0.7549712266 -0.6907310198
2459507.17606615 -0.7865240191 0.4644186680
