<html>
<head>
<TITLE> Hipparcos/Tycho Catalogue Data</TITLE>
</head>

<body bgcolor=#ffffff text=#000000 link=#0000ff vlink=#ff0000 alink=#800080>
<h1 align=center> Hipparcos/Tycho Catalogue Data</h1>
<H3 align=center>Hipparcos Catalogue Intermediate Data<br> HIP 1349 </H3><p>For information on field definitions see <A href="https://hipparcos-tools.cosmos.esa.int/pstex/sect2_08.pdf"> 
Guide to Hipparcos Intermediate Data fields (pdf)</A>
<pre align=left>
<b>Field       Value                 Field Description </b>
IH1   :     1349             Hipparcos Catalogue (HIP) identifier 
IH2   :        7.01          Provisional Hp magnitude used for the merging (mag)
IH3   :        4.22329974    Right ascension alpha (deg)
IH4   :      -52.65159230    Declination delta (deg)
IH5   :       43.45          Trigonometric parallax pi (mas)
IH6   :      314.94          Proper motion in right ascension mu_alpha* (mas/year)
IH7   :      182.50          Proper motion in declination mu_delta (mas/year)
IH8   : O                    Code for adopted solution (5, 7, 9, C, O, V, X, -)
IH9   :       91             Number of following abscissae records, N_A
ABCISSAE
A1  | |IA3    |IA4    |IA5    |IA6    |IA7    |IA8     |IA9    |IA10 
  86|N| 0.3017| 0.9537|-0.6519|-0.3927|-1.2413|   -5.06|   3.12|     
  87|N| 0.2979| 0.9546|-0.6445|-0.3874|-1.2416|    5.11|   7.13|     
 129|F|-0.7266| 0.6870| 0.5562| 0.9078|-0.8583|   -8.58|   1.78|0.562
 129|N|-0.7270| 0.6866| 0.5568| 0.9083|-0.8578|   -8.55|   1.94|0.562
 218|F| 0.7917| 0.6109|-0.2369|-0.9034|-0.6971|   -6.18|   1.81|0.517
 218|N| 0.7919| 0.6107|-0.2372|-0.9036|-0.6968|   -5.85|   1.54|0.517
 219|F| 0.7703| 0.6376|-0.2054|-0.8782|-0.7269|   -6.48|   1.97|0.531
 219|N| 0.7706| 0.6373|-0.2046|-0.8784|-0.7264|  -10.32|   1.64|0.531
 230|N| 0.4823| 0.8761| 0.1576|-0.5433|-0.9870|  -16.36|   3.01|     
 327|F| 0.8319|-0.5549|-0.3967|-0.8389| 0.5596|   18.99|   2.21|0.617
 327|N| 0.8312|-0.5560|-0.3978|-0.8382| 0.5608|   22.03|   2.60|0.617
 356|F| 0.9608| 0.2770| 0.5007|-0.9349|-0.2696|   -0.18|   3.42|0.709
 356|N| 0.9610| 0.2768| 0.4989|-0.9354|-0.2695|   -7.40|   3.99|0.709
 437|F| 0.0067|-1.0000|-0.6823|-0.0058| 0.8749|   33.02|   1.96|0.580
 437|N| 0.0064|-1.0000|-0.6824|-0.0056| 0.8748|   32.45|   2.05|0.580
 500|F| 0.9026|-0.4304| 0.6611|-0.7204| 0.3435|   14.64|   1.90|0.581
 500|N| 0.9030|-0.4297| 0.6612|-0.7209| 0.3430|   16.69|   1.92|0.581
 557|F|-0.5445|-0.8388|-0.5256| 0.3969| 0.6115|   24.66|   1.96|0.593
 557|N|-0.5451|-0.8384|-0.5257| 0.3974| 0.6112|   25.02|   2.54|0.593
 670|F|-0.6421|-0.7666| 0.1852| 0.3797| 0.4533|   19.29|   3.79|0.735
 670|N|-0.6418|-0.7670| 0.1838| 0.3797| 0.4538|   18.95|   4.34|0.735
 671|F|-0.6661|-0.7458| 0.1677| 0.3933| 0.4403|   18.56|   1.76|0.562
 671|N|-0.6658|-0.7461| 0.1675| 0.3931| 0.4406|   19.66|   2.66|0.562
 672|F|-0.6919|-0.7219| 0.1488| 0.4077| 0.4254|   12.97|   1.90|0.595
 672|N|-0.6914|-0.7224| 0.1496| 0.4074| 0.4257|   13.84|   1.99|0.595
 673|F|-0.7159|-0.6982| 0.1314| 0.4209| 0.4105|   14.78|   1.89|0.596
 673|N|-0.7152|-0.6989| 0.1323| 0.4205| 0.4110|   16.09|   2.40|0.596
 690|F|-0.9790|-0.2037|-0.1690| 0.5555| 0.1156|    0.60|   1.96|0.605
 690|N|-0.9791|-0.2035|-0.1688| 0.5554| 0.1155|   -2.78|   2.16|0.605
 691|F|-0.9853|-0.1706|-0.1868| 0.5579| 0.0966|    6.09|   1.99|0.597
 691|N|-0.9855|-0.1699|-0.1868| 0.5579| 0.0962|    8.33|   2.11|0.597
 692|F|-0.9905|-0.1372|-0.2044| 0.5596| 0.0775|    0.83|   2.15|0.618
 692|N|-0.9905|-0.1379|-0.2037| 0.5595| 0.0779|    5.53|   2.95|0.618
 796|F|-0.9783|-0.2073| 0.5682| 0.4288| 0.0909|    3.14|   2.25|0.633
 796|N|-0.9784|-0.2069| 0.5669| 0.4290| 0.0907|    4.81|   2.47|0.633
 854|F|-0.0085| 0.9999|-0.6682| 0.0031|-0.3678|    2.37|   3.94|0.707
 854|N|-0.0083| 1.0000|-0.6684| 0.0031|-0.3678|   -1.44|   5.08|0.707
 909|F|-0.9179| 0.3969| 0.6472| 0.2765|-0.1196|    4.84|   2.27|0.647
 909|N|-0.9180| 0.3966| 0.6475| 0.2765|-0.1195|    4.97|   2.55|0.647
1013|F|-0.0974| 0.9952| 0.3275| 0.0170|-0.1741|   -5.73|   2.18|0.630
1013|N|-0.0970| 0.9953| 0.3270| 0.0170|-0.1742|   -5.65|   2.98|0.630
1108|F| 0.9986|-0.0525|-0.2528|-0.0589| 0.0031|    3.28|   2.48|0.679
1108|N| 0.9987|-0.0534|-0.2556|-0.0593| 0.0032|    2.65|   3.02|0.679
1109|F| 0.9997|-0.0232|-0.2283|-0.0584| 0.0014|    4.56|   1.74|0.601
1109|N| 0.9997|-0.0238|-0.2277|-0.0582| 0.0014|    5.72|   2.23|0.601
1125|F| 0.8732| 0.4873| 0.2934|-0.0338|-0.0189|   -7.12|   2.05|0.622
1125|N| 0.8740| 0.4860| 0.2918|-0.0339|-0.0189|   -8.24|   2.58|0.622
1214|F| 0.3184|-0.9479|-0.6114| 0.0222|-0.0661|   27.60|   3.07|0.716
1214|N| 0.3185|-0.9480|-0.6124| 0.0221|-0.0659|   27.97|   3.70|0.716
1264|F| 0.9956|-0.0939| 0.6842| 0.1293|-0.0122|    8.55|   2.03|0.614
1264|N| 0.9956|-0.0936| 0.6854| 0.1295|-0.0122|    7.37|   2.22|0.614
1331|F|-0.3570|-0.9341|-0.6442|-0.0755|-0.1977|   25.74|   2.33|0.656
1331|N|-0.3567|-0.9342|-0.6443|-0.0755|-0.1976|   24.04|   2.92|0.656
1422|F| 0.1838|-0.9830| 0.3716| 0.0592|-0.3167|   29.90|   2.10|0.607
1422|N| 0.1841|-0.9829| 0.3717| 0.0593|-0.3167|   32.49|   3.09|0.607
1454|F|-0.7612|-0.6485|-0.2306|-0.2750|-0.2343|   17.82|   3.07|0.696
1454|N|-0.7590|-0.6511|-0.2291|-0.2740|-0.2351|   15.35|   3.34|0.696
1455|F|-0.7780|-0.6283|-0.2441|-0.2818|-0.2276|   17.23|   1.96|0.596
1455|N|-0.7782|-0.6280|-0.2445|-0.2819|-0.2275|   11.66|   2.71|0.596
1618|F|-0.4556| 0.8901|-0.5580|-0.2553| 0.4987|  -18.64|   2.09|0.612
1618|N|-0.4559| 0.8901|-0.5583|-0.2553| 0.4985|  -20.24|   2.74|0.612
1688|F|-0.9914| 0.1305| 0.6727|-0.6397| 0.0842|    4.48|   2.98|0.670
1688|N|-0.9913| 0.1319| 0.6721|-0.6398| 0.0851|    0.95|   3.93|0.670
1759|F| 0.4225| 0.9063|-0.6016| 0.3092| 0.6633|   -0.97|   2.69|0.663
1759|N| 0.4230| 0.9062|-0.6034| 0.3094| 0.6629|   -0.30|   2.93|0.663
1795|F|-0.5587| 0.8292| 0.4802|-0.4334| 0.6431|    2.58|   4.11|0.705
1795|N|-0.5585| 0.8297| 0.4786|-0.4329| 0.6432|    5.72|   4.47|0.705
1888|F| 0.8882| 0.4594|-0.1854| 0.7892| 0.4082|    4.47|   2.90|0.661
1888|N| 0.8883| 0.4594|-0.1877| 0.7890| 0.4080|    3.93|   3.09|0.661
1889|F| 0.8717| 0.4901|-0.1550| 0.7753| 0.4359|    1.87|   2.33|0.640
