# time flux_white_norm err_white_norm
2.45978119812313e+06 1.00115361055424e+00 1.62091743045284e-04
2.45978119820228e+06 1.00137256242027e+00 1.62077783377147e-04
2.45978119828143e+06 1.00100815491739e+00 1.62088708334819e-04
2.45978119836057e+06 1.00129725816577e+00 1.62074925231656e-04
2.45978119843972e+06 1.00112115649978e+00 1.62095616439367e-04
2.45978119851887e+06 1.00131108955945e+00 1.62129903149960e-04
2.45978119859802e+06 1.00097479685028e+00 1.62069242046604e-04
2.45978119867717e+06 1.00087996592234e+00 1.62064618251387e-04
2.45978119875632e+06 1.00101267498069e+00 1.62031280577522e-04
2.45978119883547e+06 1.00099703556169e+00 1.62112886700738e-04
2.45978119891462e+06 1.00100047080979e+00 1.62056187273952e-04
2.45978119899377e+06 1.00169439092690e+00 1.62116395929565e-04
2.45978119907292e+06 1.00137156800634e+00 1.62119783769975e-04
2.45978119915207e+06 1.00129183408981e+00 1.62091091961948e-04
2.45978119923122e+06 1.00099468512877e+00 1.62079129685063e-04
2.45978119931036e+06 1.00081189376911e+00 1.62054079529593e-04
2.45978119938951e+06 1.00098293296421e+00 1.62071824309326e-04
2.45978119946866e+06 1.00098004012370e+00 1.62091522339068e-04
2.45978119954781e+06 1.00071814765637e+00 1.62032030978655e-04
2.45978119962696e+06 1.00120893612897e+00 1.62115744846229e-04
2.45978119970611e+06 1.00098555460092e+00 1.62137958926829e-04
2.45978119978526e+06 1.00094107717809e+00 1.62054874071969e-04
2.45978119986441e+06 1.00097045758951e+00 1.62053406375635e-04
2.45978119994356e+06 1.00122511795557e+00 1.62126835333563e-04
2.45978120002271e+06 1.00152597336851e+00 1.62100858211988e-04
2.45978120010186e+06 1.00123352527330e+00 1.62086181248651e-04
2.45978120018101e+06 1.00095707820216e+00 1.62058118453338e-04
2.45978120026015e+06 1.00140438366587e+00 1.62134846969189e-04
2.45978120033930e+06 1.00124654305559e+00 1.62073336146903e-04
2.45978120041845e+06 1.00143502969501e+00 1.62097282771295e-04
2.45978120049760e+06 1.00052423694099e+00 1.62063040201946e-04
2.45978120057675e+06 1.00112775579219e+00 1.62083422420956e-04
2.45978120065590e+06 1.00122041708974e+00 1.62123226786938e-04
2.45978120073505e+06 1.00099712596295e+00 1.62083919009941e-04
2.45978120081420e+06 1.00087463224765e+00 1.62068855810727e-04
2.45978120089335e+06 1.00139407792155e+00 1.62077341964716e-04
2.45978120097250e+06 1.00128939325563e+00 1.62097161382877e-04
2.45978120105165e+06 1.00131904487085e+00 1.62138819681070e-04
2.45978120113079e+06 1.00114493203271e+00 1.62092096175229e-04
2.45978120120994e+06 1.00068370477405e+00 1.62046763118546e-04
2.45978120128909e+06 1.00104603304781e+00 1.62085331529721e-04
2.45978120136824e+06 1.00168146354587e+00 1.62119651346245e-04
2.45978120144739e+06 1.00119175988845e+00 1.62080983617274e-04
2.45978120152654e+06 1.00126534651890e+00 1.62086755084811e-04
2.45978120160569e+06 1.00082527315647e+00 1.62065346581899e-04
2.45978120168484e+06 1.00097316962749e+00 1.62064364439239e-04
2.45978120176399e+06 1.00145609318996e+00 1.62106155161162e-04
2.45978120184314e+06 1.00063534009679e+00 1.62034414605783e-04
2.45978120192229e+06 1.00077428684249e+00 1.62090893326354e-04
2.45978120200144e+06 1.00069337770951e+00 1.62074991443520e-04
2.45978120208058e+06 1.00142427194436e+00 1.62109984414003e-04
2.45978120215973e+06 1.00151259398116e+00 1.62130852186687e-04
2.45978120223888e+06 1.00112468214915e+00 1.62094689473262e-04
2.45978120231803e+06 1.00082581556406e+00 1.62046211353007e-04
2.45978120239718e+06 1.00100191723005e+00 1.62064673427941e-04
2.45978120247633e+06 1.00086161446536e+00 1.62097867642766e-04
2.45978120255548e+06 1.00121698184164e+00 1.62139834929661e-04
2.45978120263463e+06 1.00108165114658e+00 1.62098011101807e-04
2.45978120271378e+06 1.00104576184401e+00 1.62069915200562e-04
2.45978120279293e+06 1.00120061921251e+00 1.62091709939351e-04
2.45978120287208e+06 1.00099323870852e+00 1.62111761099038e-04
2.45978120295122e+06 1.00054737966507e+00 1.62037714163706e-04
2.45978120303037e+06 1.00115180252892e+00 1.62141137096334e-04
2.45978120310952e+06 1.00053644111189e+00 1.62022937882572e-04
2.45978120318867e+06 1.00120839372138e+00 1.62068359221742e-04
2.45978120326782e+06 1.00108327836936e+00 1.62081127076314e-04
2.45978120334697e+06 1.00078260375896e+00 1.62051839361504e-04
2.45978120342612e+06 1.00131199357211e+00 1.62167456312543e-04
2.45978120350527e+06 1.00107306302632e+00 1.62060943492898e-04
2.45978120358442e+06 1.00083060683115e+00 1.62087759298092e-04
2.45978120366357e+06 1.00142924401399e+00 1.62149888097782e-04
2.45978120374272e+06 1.00160932333568e+00 1.62108516717669e-04
2.45978120382186e+06 1.00078938385390e+00 1.62087549627187e-04
2.45978120390101e+06 1.00095192533000e+00 1.62075234220357e-04
2.45978120398016e+06 1.00106257647947e+00 1.62083874868698e-04
2.45978120405931e+06 1.00120776091252e+00 1.62088597981711e-04
2.45978120413846e+06 1.00085374955523e+00 1.62061837353071e-04
2.45978120421761e+06 1.00120911693151e+00 1.62079935262749e-04
2.45978120429676e+06 1.00110859072382e+00 1.62063051237257e-04
2.45978120437591e+06 1.00062313592590e+00 1.62043441490001e-04
2.45978120445506e+06 1.00141215817473e+00 1.62103308050981e-04
2.45978120453421e+06 1.00110235303647e+00 1.62056507297964e-04
2.45978120461336e+06 1.00091612642870e+00 1.62049279169404e-04
2.45978120469251e+06 1.00097036718825e+00 1.62136116029929e-04
2.45978120477165e+06 1.00135430136455e+00 1.62110249261461e-04
2.45978120485080e+06 1.00148836644189e+00 1.62095748863097e-04
2.45978120492995e+06 1.00140013480637e+00 1.62094192884277e-04
2.45978120500910e+06 1.00098817623763e+00 1.62103241839116e-04
2.45978120508825e+06 1.00115397215930e+00 1.62078379283930e-04
2.45978120516740e+06 1.00116039064918e+00 1.62091831327770e-04
2.45978120524655e+06 1.00100218843385e+00 1.62094601190776e-04
2.45978120532570e+06 1.00099179228827e+00 1.62066461148288e-04
2.45978120540485e+06 1.00093131384137e+00 1.62037427245626e-04
2.45978120548400e+06 1.00080990494126e+00 1.62080851193544e-04
2.45978120556315e+06 1.00117955571755e+00 1.62082727196377e-04
2.45978120564230e+06 1.00121743384797e+00 1.62108318082075e-04
2.45978120572144e+06 1.00134037956960e+00 1.62118007084939e-04
2.45978120580059e+06 1.00075602578678e+00 1.62064209944888e-04
2.45978120587974e+06 1.00046131765992e+00 1.62062289800813e-04
2.45978120595889e+06 1.00097922651230e+00 1.62100339552381e-04
2.45978120603804e+06 1.00091468000845e+00 1.62070102800845e-04
2.45978120611719e+06 1.00128514439613e+00 1.62092747258565e-04
2.45978120619634e+06 1.00091757284896e+00 1.62067310867218e-04
2.45978120627549e+06 1.00113453588713e+00 1.62097801430902e-04
2.45978120635464e+06 1.00096521431609e+00 1.62081954724622e-04
2.45978120643379e+06 1.00074544883867e+00 1.62101200306622e-04
2.45978120651294e+06 1.00102876640602e+00 1.62040583344509e-04
2.45978120659208e+06 1.00118235815680e+00 1.62104532970477e-04
2.45978120667123e+06 1.00098573540345e+00 1.62053715364337e-04
2.45978120675038e+06 1.00098013052496e+00 1.62086931649784e-04
2.45978120682953e+06 1.00084091257547e+00 1.62072365039555e-04
2.45978120690868e+06 1.00127194581131e+00 1.62069319293779e-04
2.45978120698783e+06 1.00122773959228e+00 1.62120192076474e-04
2.45978120706698e+06 1.00122267712139e+00 1.62102601791091e-04
2.45978120714613e+06 1.00114059277195e+00 1.62092162387093e-04
2.45978120722528e+06 1.00105416916174e+00 1.62061815282449e-04
2.45978120730443e+06 1.00102487915159e+00 1.62048881898215e-04
2.45978120738358e+06 1.00162216031544e+00 1.62107655963428e-04
2.45978120746273e+06 1.00096855916293e+00 1.62074108618658e-04
2.45978120754187e+06 1.00111157396559e+00 1.62064805851671e-04
2.45978120762102e+06 1.00082608676786e+00 1.62104952312287e-04
2.45978120770017e+06 1.00144361781527e+00 1.62113802631532e-04
2.45978120777932e+06 1.00144262340134e+00 1.62101211341933e-04
2.45978120785847e+06 1.00120929773404e+00 1.62097293806606e-04
2.45978120793762e+06 1.00114610724917e+00 1.62108428435183e-04
2.45978120801677e+06 1.00082319392735e+00 1.62045494057806e-04
2.45978120809592e+06 1.00079535033745e+00 1.62082495454850e-04
2.45978120817507e+06 1.00118470858971e+00 1.62120622453594e-04
2.45978120825422e+06 1.00167269462308e+00 1.62120810053877e-04
2.45978120833337e+06 1.00153248225966e+00 1.62074781772615e-04
2.45978120841251e+06 1.00045833441815e+00 1.62048826721662e-04
2.45978120849166e+06 1.00131633283287e+00 1.62162269716477e-04
2.45978120857081e+06 1.00121472180999e+00 1.62094071495858e-04
2.45978120864996e+06 1.00106103965795e+00 1.62019505900920e-04
2.45978120872911e+06 1.00153519429763e+00 1.62105559254380e-04
2.45978120880826e+06 1.00083675411724e+00 1.62093166600374e-04
2.45978120888741e+06 1.00092534735782e+00 1.62079262108792e-04
2.45978120896656e+06 1.00121354659354e+00 1.62075234220357e-04
2.45978120904571e+06 1.00092688417934e+00 1.62055271343157e-04
2.45978120912486e+06 1.00071118675889e+00 1.62032715167923e-04
2.45978120920401e+06 1.00151105715964e+00 1.62126095967741e-04
2.45978120928315e+06 1.00093294106416e+00 1.62097702113105e-04
2.45978120936230e+06 1.00082834679951e+00 1.62059597184983e-04
2.45978120944145e+06 1.00095156372494e+00 1.62118536779857e-04
2.45978120952060e+06 1.00064673065630e+00 1.62067255690664e-04
2.45978120959975e+06 1.00092959621732e+00 1.62060788998547e-04
2.45978120967890e+06 1.00077835489946e+00 1.62051364843141e-04
2.45978120975805e+06 1.00078043412858e+00 1.62078037189295e-04
2.45978120983720e+06 1.00108788883392e+00 1.62067200514110e-04
2.45978120991635e+06 1.00062205111071e+00 1.62028389326098e-04
2.45978120999550e+06 1.00101430220348e+00 1.62080851193544e-04
2.45978121007465e+06 1.00105923163263e+00 1.62103087344765e-04
2.45978121015380e+06 1.00047162340424e+00 1.62045140927861e-04
2.45978121023294e+06 1.00130033180881e+00 1.62117609813751e-04
2.45978121031209e+06 1.00068171594620e+00 1.62084570093277e-04
2.45978121039124e+06 1.00103265366046e+00 1.62073954124307e-04
2.45978121047039e+06 1.00033846233956e+00 1.62050934466021e-04
2.45978121054954e+06 1.00124663345686e+00 1.62102932850414e-04
2.45978121062869e+06 1.00128098593790e+00 1.62112754277008e-04
2.45978121070784e+06 1.00132627697212e+00 1.62097360018471e-04
2.45978121078699e+06 1.00089605734767e+00 1.62108119446481e-04
2.45978121086614e+06 1.00140528767852e+00 1.62107247656929e-04
2.45978121094529e+06 1.00082988362103e+00 1.62082109218973e-04
2.45978121102444e+06 1.00056844316002e+00 1.62057368052205e-04
2.45978121110359e+06 1.00099604114776e+00 1.62056319697681e-04
2.45978121118273e+06 1.00069057527026e+00 1.62048915004148e-04
2.45978121126188e+06 1.00051176156630e+00 1.62038232823313e-04
2.45978121134103e+06 1.00092236411605e+00 1.62042503488585e-04
2.45978121142018e+06 1.00051275598022e+00 1.62071978803677e-04
2.45978121149933e+06 1.00037435164212e+00 1.62011306665011e-04
2.45978121157848e+06 1.00050362545237e+00 1.62018711358544e-04
2.45978121165763e+06 1.00079770077036e+00 1.62134107603367e-04
2.45978121173678e+06 1.00063579210312e+00 1.62062620860136e-04
2.45978121181593e+06 1.00035753700666e+00 1.62007157388158e-04
2.45978121189508e+06 1.00066200847024e+00 1.62099269127235e-04
2.45978121197423e+06 1.00076931477287e+00 1.62032626885437e-04
2.45978121205337e+06 1.00063226645375e+00 1.62075995656801e-04
2.45978121213252e+06 1.00094921329202e+00 1.62065611429357e-04
2.45978121221167e+06 1.00129942779615e+00 1.62105658572177e-04
2.45978121229082e+06 1.00093926915277e+00 1.62078732413874e-04
2.45978121236997e+06 1.00052803379416e+00 1.62058328124243e-04
2.45978121244912e+06 1.00101809905664e+00 1.62063845779633e-04
2.45978121252827e+06 1.00049431412198e+00 1.62033973193352e-04
2.45978121260742e+06 1.00024652425213e+00 1.62027131300669e-04
2.45978121268657e+06 1.00071751484750e+00 1.62088642122955e-04
2.45978121276572e+06 1.00060415166006e+00 1.62027098194736e-04
2.45978121284487e+06 1.00030881072434e+00 1.62036246467373e-04
2.45978121292402e+06 1.00096666073634e+00 1.62112853594805e-04
2.45978121300316e+06 1.00055542537773e+00 1.62062223588948e-04
2.45978121308231e+06 1.00114918089221e+00 1.62051662796532e-04
2.45978121316146e+06 1.00041024094469e+00 1.62063327120026e-04
2.45978121324061e+06 1.00085284554257e+00 1.62071846379948e-04
2.45978121331976e+06 1.00016895996598e+00 1.62038795624163e-04
2.45978121339891e+06 1.00068958085634e+00 1.62049797829010e-04
2.45978121347806e+06 1.00083196285014e+00 1.62080332533938e-04
2.45978121355721e+06 1.00046647053208e+00 1.62009309273760e-04
2.45978121363636e+06 1.00060713490183e+00 1.62016427049213e-04
2.45978121371551e+06 1.00036332268768e+00 1.62023853813367e-04
2.45978121379466e+06 1.00078766622985e+00 1.62026833347278e-04
2.45978121387380e+06 1.00105371715541e+00 1.62090176031153e-04
2.45978121395295e+06 1.00035961623578e+00 1.62052435268287e-04
2.45978121403210e+06 1.00001166176330e+00 1.61991597599958e-04
2.45978121411125e+06 1.00085438236409e+00 1.62077915800877e-04
2.45978121419040e+06 1.00057088399420e+00 1.62096863429485e-04
2.45978121426955e+06 1.00033593110411e+00 1.62000447919204e-04
2.45978121434870e+06 1.00085483437042e+00 1.62072685063567e-04
2.45978121442785e+06 1.00093972115910e+00 1.62101520330635e-04
2.45978121450700e+06 1.00136180466962e+00 1.62147846565288e-04
2.45978121458615e+06 1.00073026142600e+00 1.62032991050693e-04
2.45978121466530e+06 1.00162170830911e+00 1.62140508083619e-04
2.45978121474444e+06 1.00025791481163e+00 1.62019185876907e-04
2.45978121482359e+06 1.00072266771966e+00 1.62072927840404e-04
2.45978121490274e+06 1.00016416869889e+00 1.62011836359928e-04
2.45978121498189e+06 1.00100074201359e+00 1.62061495258437e-04
2.45978121506104e+06 1.00101864146424e+00 1.62065048628508e-04
2.45978121514019e+06 1.00027717028127e+00 1.62046178247074e-04
2.45978121521934e+06 1.00063181444742e+00 1.62018711358544e-04
2.45978121529849e+06 1.00058679461700e+00 1.62064827922292e-04
2.45978121537764e+06 1.00034931049146e+00 1.62004906184759e-04
2.45978121545679e+06 1.00040436486240e+00 1.62029735634013e-04
2.45978121553594e+06 1.00046041364726e+00 1.62022805458843e-04
2.45978121561509e+06 1.00034768326868e+00 1.62061947706179e-04
2.45978121569423e+06 1.00081026654632e+00 1.62070290401128e-04
2.45978121577338e+06 1.00026577972177e+00 1.62011935677725e-04
2.45978121585253e+06 1.00003073643041e+00 1.62011670830266e-04
2.45978121593168e+06 1.00087897150841e+00 1.62086137107408e-04
2.45978121601083e+06 1.00061002774234e+00 1.61992546636685e-04
2.45978121608998e+06 1.00047984991943e+00 1.62052126279585e-04
2.45978121616913e+06 1.00017357043054e+00 1.62044412597350e-04
2.45978121624828e+06 1.00067954631582e+00 1.62081314676597e-04
2.45978121632743e+06 1.00047062899031e+00 1.62026590570441e-04
2.45978121640658e+06 1.00066137566138e+00 1.62049080533810e-04
2.45978121648573e+06 9.99987163020241e-01 1.62004674443232e-04
2.45978121656488e+06 1.00019580914195e+00 1.62022496470141e-04
2.45978121664402e+06 1.00073017102473e+00 1.62040837156657e-04
2.45978121672317e+06 1.00038284936112e+00 1.62041422028128e-04
2.45978121680232e+06 1.00033493669019e+00 1.62039534989985e-04
2.45978121688147e+06 1.00046122725866e+00 1.62057334946273e-04
2.45978121696062e+06 1.00015946783306e+00 1.62017674039331e-04
2.45978121703977e+06 1.00070558188040e+00 1.61995051652232e-04
2.45978121711892e+06 1.00075629699058e+00 1.62080807052301e-04
2.45978121719807e+06 1.00076768755008e+00 1.62078721378564e-04
2.45978121727722e+06 1.00070657629433e+00 1.62067421220325e-04
2.45978121735637e+06 1.00083133004128e+00 1.62069032375699e-04
2.45978121743552e+06 1.00062105669678e+00 1.62073402358768e-04
2.45978121751466e+06 1.00044341820927e+00 1.62066052841789e-04
2.45978121759381e+06 1.00040129121936e+00 1.62059464761253e-04
2.45978121767296e+06 1.00005387915448e+00 1.62013613044964e-04
2.45978121775211e+06 1.00015476696723e+00 1.62041631699033e-04
2.45978121783126e+06 1.00045345274979e+00 1.62015157988473e-04
2.45978121791041e+06 1.00040083921303e+00 1.62022055057710e-04
2.45978121798956e+06 1.00034885848513e+00 1.61990405786394e-04
2.45978121806871e+06 1.00082581556406e+00 1.62030717776672e-04
2.45978121814786e+06 1.00097099999711e+00 1.62075311467533e-04
2.45978121822701e+06 1.00028856084078e+00 1.62050393735792e-04
2.45978121830616e+06 1.00031839325852e+00 1.62016261519551e-04
2.45978121838531e+06 1.00041295298266e+00 1.62062311871434e-04
2.45978121846445e+06 1.00044730546371e+00 1.62013524762477e-04
2.45978121854360e+06 9.99861053254301e-01 1.61988982231303e-04
2.45978121862275e+06 1.00085537677801e+00 1.62078776555118e-04
2.45978121870190e+06 1.00025375635340e+00 1.61965454948721e-04
2.45978121878105e+06 1.00041837705862e+00 1.62094799826370e-04
2.45978121886020e+06 1.00067565906139e+00 1.62010158992690e-04
2.45978121893935e+06 1.00072067889181e+00 1.62050029570537e-04
2.45978121901850e+06 1.00098067293256e+00 1.62064960346021e-04
2.45978121909765e+06 1.00071055395003e+00 1.62084713552317e-04
2.45978121917680e+06 1.00015106051533e+00 1.61991542423404e-04
2.45978121925595e+06 1.00080303444505e+00 1.62075841162450e-04
2.45978121933509e+06 1.00075403695893e+00 1.62052865645407e-04
2.45978121941424e+06 9.99947115259444e-01 1.62027274759709e-04
2.45978121949339e+06 1.00053978595873e+00 1.62030795023848e-04
2.45978121957254e+06 1.00056265747901e+00 1.62054278165187e-04
2.45978121965169e+06 1.00029552173825e+00 1.62067046019759e-04
2.45978121973084e+06 1.00047044818778e+00 1.62074914196345e-04
2.45978121980999e+06 1.00067737668544e+00 1.62056694898248e-04
2.45978121988914e+06 1.00063488809046e+00 1.62067774350270e-04
2.45978121996829e+06 1.00067565906139e+00 1.62062024953354e-04
2.45978122004744e+06 1.00059004906257e+00 1.62056176238641e-04
2.45978122012659e+06 1.00025945163315e+00 1.62050073711780e-04
2.45978122020573e+06 1.00055831821824e+00 1.62018126487073e-04
2.45978122028488e+06 1.00053734512455e+00 1.62067233620042e-04
2.45978122036403e+06 1.00089217009324e+00 1.62075631491545e-04
2.45978122044318e+06 1.00027265021798e+00 1.62033443498435e-04
2.45978122052233e+06 9.99883924774575e-01 1.62001176249715e-04
2.45978122060148e+06 9.99955793780972e-01 1.62002588769495e-04
2.45978122068063e+06 1.00042108909659e+00 1.62044865045092e-04
2.45978122075978e+06 1.00080439046404e+00 1.62041322710331e-04
2.45978122083893e+06 1.00068045032848e+00 1.62090164995842e-04
2.45978122091808e+06 9.99828689601106e-01 1.62078070295228e-04
2.45978122099723e+06 1.00022085029261e+00 1.62034944300701e-04
2.45978122107638e+06 1.00003543729624e+00 1.62035705737145e-04
2.45978122115552e+06 9.99703031841495e-01 1.61983641140886e-04
2.45978122123467e+06 1.00015874462293e+00 1.61985152978463e-04
2.45978122131382e+06 1.00072718778296e+00 1.62059299231592e-04
2.45978122139297e+06 1.00099305790599e+00 1.62092029963364e-04
2.45978122147212e+06 1.00080023200581e+00 1.62085662589044e-04
2.45978122155127e+06 1.00090961753756e+00 1.62084172822089e-04
2.45978122163042e+06 1.00037462284592e+00 1.62044522950458e-04
2.45978122170957e+06 1.00053725472329e+00 1.62076470175165e-04
2.45978122178872e+06 1.00079733916530e+00 1.62049003286634e-04
2.45978122186787e+06 1.00110759630989e+00 1.62100758894191e-04
2.45978122194702e+06 1.00055786621191e+00 1.62047833543691e-04
2.45978122202617e+06 1.00026939577240e+00 1.62048672227311e-04
2.45978122210531e+06 1.00033683511677e+00 1.62013657186207e-04
2.45978122218446e+06 1.00033954715475e+00 1.62049345381268e-04
2.45978122226361e+06 1.00013008742164e+00 1.61983067304726e-04
2.45978122234276e+06 9.99697336561743e-01 1.62003901971478e-04
2.45978122242191e+06 1.00061581342336e+00 1.62063161590364e-04
2.45978122250106e+06 1.00054132278025e+00 1.62031335754076e-04
2.45978122258021e+06 1.00037380923453e+00 1.62040859227279e-04
2.45978122265936e+06 1.00041195856874e+00 1.62066604607328e-04
2.45978122273851e+06 1.00072429494245e+00 1.62041664804966e-04
2.45978122281766e+06 1.00056247667647e+00 1.62057379087516e-04
2.45978122289681e+06 1.00083114923875e+00 1.62110966556662e-04
2.45978122297595e+06 1.00055280374102e+00 1.62040175038010e-04
2.45978122305510e+06 1.00023612810655e+00 1.61981268549069e-04
2.45978122313425e+06 1.00015847341913e+00 1.62035297430646e-04
2.45978122321340e+06 1.00073568550195e+00 1.62050945501331e-04
2.45978122329255e+06 1.00064004096262e+00 1.62036996868506e-04
2.45978122337170e+06 1.00011336318745e+00 1.61980992666299e-04
2.45978122345085e+06 1.00065929643226e+00 1.62078346177997e-04
2.45978122353000e+06 1.00048292356248e+00 1.62065004487265e-04
2.45978122360915e+06 1.00063443608414e+00 1.62066990843205e-04
2.45978122368830e+06 1.00077302122477e+00 1.62032262720181e-04
2.45978122376745e+06 1.00077039958806e+00 1.62077617847486e-04
2.45978122384659e+06 1.00031504841169e+00 1.61995779982744e-04
2.45978122392574e+06 1.00061084135373e+00 1.62096951711972e-04
2.45978122400489e+06 1.00063362247274e+00 1.62077882694944e-04
2.45978122408404e+06 9.99862861279619e-01 1.61973102419092e-04
2.45978122416319e+06 1.00090853272237e+00 1.62116064870242e-04
