                                    mean       sd       hdi_3%      hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
inst.gamma[0]                      0.002    0.001        0.000        0.003      0.000    0.000   14055.0   10627.0    1.0
inst.gamma[1]                     -0.001    0.002       -0.004        0.002      0.000    0.000   12029.0    9049.0    1.0
inst.gamma_raw[0]                  4.229    2.090        0.422        8.334      0.018    0.013   14055.0   10627.0    1.0
inst.gamma_raw[1]                  5.374    4.312       -2.625       13.581      0.040    0.028   12029.0    9049.0    1.0
inst.jitter_variance[0]            0.000    0.000        0.000        0.000      0.000    0.000    8522.0    6760.0    1.0
inst.jitter_variance[1]            0.000    0.000        0.000        0.000      0.000    0.000   13357.0    9405.0    1.0
inst.jitter_variance_raw[0]      647.110  271.713      243.512     1160.025      3.364    2.582    8522.0    6760.0    1.0
inst.jitter_variance_raw[1]     1718.038  514.852      799.882     2673.377      4.676    3.556   13357.0    9405.0    1.0
orbit.logP[0]                      0.476    0.000        0.475        0.476      0.000    0.000   13701.0   10949.0    1.0
orbit.logP_raw[0]                 -9.222   11.288      -29.541       12.779      0.097    0.074   13701.0   10949.0    1.0
orbit.period[0]                    2.989    0.001        2.988        2.990      0.000    0.000   13701.0   10949.0    1.0
orbit.secosw[0]                    0.154    0.185       -0.187        0.464      0.002    0.002    7628.0   11521.0    1.0
orbit.secosw_raw[0]                0.958    1.232       -1.316        3.029      0.014    0.010    7628.0   11521.0    1.0
orbit.sesinw[0]                   -0.014    0.193       -0.361        0.330      0.002    0.001    9616.0   10329.0    1.0
orbit.sesinw_raw[0]               -0.163    1.289       -2.476        2.134      0.013    0.010    9616.0   10329.0    1.0
orbit.tc[0]                  2456190.232    0.083  2456190.067  2456190.373      0.001    0.001    7197.0    7597.0    1.0
orbit.tc_raw[0]                  -69.754   82.632     -234.558       70.603      1.003    0.772    7197.0    7597.0    1.0
planet.mass[0]                     0.001    0.000        0.001        0.001      0.000    0.000   11886.0   10012.0    1.0
planet.mass_raw[0]                -1.962    0.680       -3.213       -0.643      0.006    0.004   11886.0   10012.0    1.0
star.feh[0]                       -0.117    0.080       -0.263        0.037      0.001    0.000   15025.0   11316.0    1.0
star.feh_raw[0]                   -0.008    0.999       -1.840        1.914      0.008    0.008   15025.0   11316.0    1.0
star.logmass[0]                    0.080    0.018        0.045        0.112      0.000    0.000   13408.0   12382.0    1.0
star.logmass_raw[0]               -0.129    3.952       -7.875        6.912      0.034    0.029   13408.0   12382.0    1.0
star.radius[0]                     1.610    0.050        1.515        1.704      0.000    0.000   13921.0   11915.0    1.0
star.radius_raw[0]                 0.001    1.002       -1.893        1.878      0.008    0.008   13921.0   11915.0    1.0
star.teff[0]                    6206.441  100.466     6020.063     6401.407      0.834    0.590   14498.0   11505.0    1.0
star.teff_raw[0]                  -0.006    1.005       -1.869        1.944      0.008    0.008   14498.0   11505.0    1.0
