Title: OGLE-2016-BLG-1003: First Resolved Caustic-crossing Binary-source 
       Event Discovered by Second-generation Microlensing Surveys  
Authors: Jung Y.K., Udalski A., Bond I.A., Yee J.C., Gould A., Han C., 
         Albrow M.D., Lee C.-U., Kim S.-L., Hwang K.-H., Chung S.-J., Ryu Y.-H.,
         Shin I.-G., Zhu W., Cha S.-M., Kim D.-J., Lee Y., Park B.-G., 
         Kim H.-W., Pogge R.W., Skowron J., Szymanski M.K., Poleski R., Mroz P.,
         Kozlowski S., Pietrukowicz P., Soszynski I., Ulaczyk K., Pawlak M., 
         Abe F., Bennett D.P., Barry R., Sumi T., Asakura Y., Bhattacharya A., 
         Donachie M., Fukui A., Hirao Y., Itow Y., Koshimoto N., Li M.C.A., 
         Ling C.H., Masuda K., Matsubara Y., Muraki Y., Nagakane M., 
         Rattenbury N.J., Evans P., Sharan A., Sullivan D.J., Suzuki D., 
         Tristram P.J., Yamada T., Yamada T., Yonehara A.
Figure: Light curve of OGLE-2016-BLG-1003
================================================================================
Byte-by-byte Description of file: dbf1.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  4 A4     ---     Obs     Observatory identifier
   6-  6 A1     ---     Filter  Filter used
   8- 18 F11.6  d       HJD     Heliocentric Julian Date; - 2450000
  20- 28 F9.6   mag     mag     Apparent magnitude in Filter
  30- 37 F8.6   mag   e_mag     Uncertainty in mag
--------------------------------------------------------------------------------
KMTA I 7443.248240 19.550000 0.141000 
KMTA I 7443.269730 19.368000 0.111000 
KMTA I 7444.225340 19.370000 0.142000 
KMTA I 7444.273760 19.489000 0.106000 
KMTA I 7449.225930 19.601000 0.165000 
KMTA I 7452.203720 19.485000 0.148000 
KMTA I 7458.229430 19.678000 0.171000 
KMTA I 7459.223690 19.794000 0.163000 
KMTA I 7460.198010 19.382000 0.126000 
KMTA I 7462.228100 19.741000 0.162000 
KMTA I 7465.149480 19.670000 0.175000 
KMTA I 7467.261720 19.555000 0.135000 
KMTA I 7469.223370 19.795000 0.190000 
KMTA I 7470.188380 19.483000 0.151000 
KMTA I 7470.231950 19.731000 0.167000 
KMTA I 7470.275680 19.628000 0.102000 
KMTA I 7471.161420 19.745000 0.165000 
KMTA I 7471.214310 19.458000 0.102000 
KMTA I 7471.262290 19.524000 0.096000 
KMTA I 7472.159390 19.378000 0.127000 
KMTA I 7472.205960 19.385000 0.092000 
KMTA I 7472.249090 19.395000 0.079000 
KMTA I 7473.185580 19.801000 0.182000 
KMTA I 7473.229200 19.591000 0.137000 
KMTA I 7473.273990 19.696000 0.151000 
KMTA I 7474.176180 19.680000 0.184000 
KMTA I 7474.245280 19.716000 0.166000 
KMTA I 7474.287960 19.618000 0.131000 
KMTA I 7475.122100 19.511000 0.145000 
KMTA I 7475.140840 19.698000 0.183000 
KMTA I 7475.185370 19.692000 0.135000 
KMTA I 7475.228440 19.481000 0.109000 
KMTA I 7475.271930 19.693000 0.129000 
KMTA I 7476.205110 19.581000 0.160000 
KMTA I 7479.170260 19.582000 0.115000 
KMTA I 7479.214490 19.531000 0.098000 
KMTA I 7479.259000 19.490000 0.100000 
KMTA I 7480.136270 19.482000 0.137000 
KMTA I 7480.180850 19.631000 0.114000 
KMTA I 7480.219730 19.497000 0.096000 
KMTA I 7480.256110 19.668000 0.092000 
KMTA I 7481.106780 19.640000 0.143000 
KMTA I 7481.174720 19.678000 0.149000 
KMTA I 7483.180820 19.433000 0.107000 
KMTA I 7483.225130 19.786000 0.144000 
KMTA I 7483.267960 19.843000 0.174000 
KMTA I 7484.098690 19.760000 0.164000 
KMTA I 7484.126760 19.437000 0.118000 
KMTA I 7484.163960 19.720000 0.150000 
KMTA I 7485.136290 19.462000 0.127000 
KMTA I 7485.177400 19.363000 0.099000 
KMTA I 7485.214120 19.399000 0.095000 
KMTA I 7485.251670 19.464000 0.096000 
KMTA I 7485.290560 19.381000 0.077000 
KMTA I 7487.157960 19.784000 0.125000 
KMTA I 7487.260200 19.520000 0.089000 
KMTA I 7488.088720 19.553000 0.114000 
KMTA I 7488.104930 19.650000 0.122000 
KMTA I 7488.242820 19.742000 0.097000 
KMTA I 7488.284740 19.596000 0.117000 
KMTA I 7490.230790 19.656000 0.127000 
KMTA I 7490.290860 19.387000 0.088000 
KMTA I 7492.261340 19.307000 0.101000 
KMTA I 7493.155330 19.535000 0.116000 
KMTA I 7493.191780 19.384000 0.094000 
KMTA I 7493.228450 19.495000 0.098000 
KMTA I 7493.266390 19.446000 0.111000 
KMTA I 7494.100720 19.396000 0.150000 
KMTA I 7494.138120 19.444000 0.105000 
KMTA I 7494.192860 19.412000 0.102000 
KMTA I 7497.065670 19.345000 0.141000 
KMTA I 7497.089670 19.720000 0.192000 
KMTA I 7497.130020 19.365000 0.114000 
KMTA I 7497.213700 19.430000 0.116000 
KMTA I 7498.076560 19.685000 0.145000 
KMTA I 7498.113040 19.485000 0.112000 
KMTA I 7498.153180 19.596000 0.141000 
KMTA I 7498.195200 19.421000 0.113000 
KMTA I 7498.236450 19.393000 0.119000 
KMTA I 7499.094290 19.446000 0.130000 
KMTA I 7499.131720 19.545000 0.131000 
KMTA I 7499.168900 19.368000 0.123000 
KMTA I 7499.244200 19.552000 0.131000 
KMTA I 7499.291290 19.506000 0.093000 
KMTA I 7500.108150 19.374000 0.119000 
KMTA I 7500.145850 19.265000 0.105000 
KMTA I 7500.186610 19.446000 0.105000 
KMTA I 7500.221600 19.414000 0.087000 
KMTA I 7500.265170 19.594000 0.093000 
KMTA I 7501.057870 19.374000 0.183000 
KMTA I 7501.264170 19.613000 0.182000 
KMTA I 7506.143860 19.569000 0.181000 
KMTA I 7507.038110 19.486000 0.130000 
KMTA I 7507.093390 19.652000 0.135000 
KMTA I 7507.140630 19.581000 0.163000 
KMTA I 7507.190460 19.665000 0.186000 
KMTA I 7512.158590 19.542000 0.138000 
KMTA I 7512.204490 19.451000 0.130000 
KMTA I 7512.303540 19.548000 0.139000 
KMTA I 7513.021800 19.334000 0.134000 
KMTA I 7513.078730 19.565000 0.116000 
KMTA I 7513.129580 19.569000 0.115000 
KMTA I 7513.180510 19.446000 0.083000 
KMTA I 7513.236350 19.482000 0.098000 
KMTA I 7513.292730 19.491000 0.094000 
KMTA I 7514.019360 19.564000 0.140000 
KMTA I 7514.074530 19.382000 0.101000 
KMTA I 7514.121930 19.625000 0.159000 
KMTA I 7514.169080 19.731000 0.125000 
KMTA I 7514.265240 19.428000 0.099000 
KMTA I 7515.016900 19.469000 0.152000 
KMTA I 7515.077320 19.403000 0.103000 
KMTA I 7515.129870 19.251000 0.097000 
KMTA I 7515.179260 19.378000 0.090000 
KMTA I 7515.237000 19.425000 0.106000 
KMTA I 7515.284730 19.399000 0.106000 
KMTA I 7521.997560 19.501000 0.140000 
KMTA I 7522.104960 19.488000 0.111000 
KMTA I 7522.199520 19.387000 0.118000 
KMTA I 7522.252470 19.523000 0.130000 
KMTA I 7522.300410 19.394000 0.138000 
KMTA I 7522.994930 19.316000 0.110000 
KMTA I 7523.055960 19.380000 0.096000 
KMTA I 7523.106220 19.312000 0.073000 
KMTA I 7523.182420 19.343000 0.099000 
KMTA I 7523.235000 19.213000 0.066000 
KMTA I 7523.284910 19.497000 0.107000 
KMTA I 7527.182480 19.368000 0.136000 
KMTA I 7527.276060 19.449000 0.134000 
KMTA I 7528.019220 19.501000 0.167000 
KMTA I 7528.064970 19.393000 0.147000 
KMTA I 7529.082770 19.557000 0.167000 
