# HJD mag err
2456687.870340 19.716 0.117
2456688.868640 19.647 0.090
2456689.870550 19.780 0.113
2456691.863320 19.455 0.075
2456691.884980 19.869 0.134
2456693.857690 19.833 0.125
2456693.876050 19.802 0.086
2456694.855880 19.651 0.101
2456694.892350 19.996 0.160
2456695.861110 19.467 0.071
2456696.854120 19.652 0.070
2456697.851940 19.854 0.099
2456699.859760 19.469 0.061
2456699.889640 19.680 0.096
2456700.882010 19.605 0.074
2456701.885540 19.633 0.070
2456703.845200 19.668 0.132
2456705.859420 20.270 0.225
2456705.890930 19.736 0.118
2456707.856950 19.525 0.092
2456708.832730 19.841 0.091
2456708.877450 19.715 0.086
2456709.845700 19.933 0.106
2456710.861960 19.550 0.071
2456714.870960 19.619 0.100
2456715.830260 19.840 0.074
2456715.875570 19.618 0.066
2456716.822370 19.685 0.080
2456716.865630 19.859 0.077
2456717.824740 19.688 0.090
2456717.878040 19.686 0.117
2456719.840210 19.844 0.104
2456720.816060 19.816 0.092
2456720.864610 19.690 0.069
2456721.799560 19.934 0.146
2456721.843510 19.773 0.093
2456722.823460 19.613 0.091
2456723.794420 19.800 0.097
2456723.848940 19.752 0.077
2456724.876230 19.431 0.093
2456725.803650 19.528 0.081
2456726.815810 19.541 0.069
2456726.867240 19.430 0.067
2456727.821620 19.593 0.055
2456728.786400 19.658 0.077
2456728.839410 19.614 0.061
2456729.791900 19.576 0.069
2456729.887630 19.458 0.053
2456730.790590 19.852 0.136
2456730.841800 19.652 0.113
2456732.850150 19.435 0.083
2456732.893500 19.432 0.072
2456733.786470 19.797 0.101
2456733.835570 19.614 0.073
2456733.879140 19.532 0.062
2456734.768320 19.408 0.074
2456734.817360 19.740 0.095
2456734.909500 19.461 0.059
2456735.794560 19.554 0.104
2456735.858920 19.543 0.087
2456736.775820 19.744 0.127
2456736.824770 19.646 0.114
2456736.879100 19.571 0.088
2456737.785680 19.676 0.087
2456737.832670 19.519 0.052
2456737.910210 19.546 0.071
2456741.828880 19.810 0.083
2456741.860870 19.662 0.079
2456741.877010 19.665 0.065
2456741.897460 19.613 0.054
2456741.913640 19.742 0.078
2456742.836730 19.571 0.052
2456742.879730 19.584 0.047
2456743.878080 19.780 0.085
2456744.798780 19.555 0.064
2456744.845860 19.623 0.064
2456744.889360 19.515 0.047
2456745.729430 19.449 0.075
2456745.764810 19.878 0.096
2456745.826250 19.643 0.068
2456745.869390 19.667 0.057
2456745.913050 19.536 0.071
2456746.772930 19.681 0.086
2456746.819610 19.555 0.061
2456746.862950 19.528 0.055
2456747.826700 19.455 0.057
2456747.876350 19.616 0.055
2456748.804480 19.662 0.066
2456748.861880 19.523 0.054
2456748.915960 19.553 0.077
2456749.768680 19.899 0.107
2456749.815210 19.606 0.059
2456749.858190 19.655 0.059
2456749.911540 19.519 0.068
2456750.793230 19.861 0.123
2456751.739260 19.550 0.088
2456751.807600 19.497 0.048
2456751.858040 19.599 0.048
2456752.714660 19.694 0.090
2456752.844370 19.694 0.068
2456752.919240 19.594 0.068
2456754.708850 19.452 0.106
2456754.859960 19.473 0.065
2456755.790770 19.513 0.090
2456755.840770 19.760 0.078
2456756.696140 19.456 0.064
2456756.760840 19.700 0.059
2456756.863630 19.557 0.061
2456757.895110 19.481 0.055
2456758.714900 19.899 0.144
2456758.835030 19.420 0.084
2456758.891810 19.939 0.130
2456759.741180 19.598 0.064
2456759.800290 19.672 0.062
2456759.901370 19.614 0.045
2456760.693470 19.628 0.079
2456760.746370 19.569 0.063
2456760.805310 19.537 0.055
2456760.850920 19.760 0.058
2456761.759010 19.759 0.097
2456761.802510 19.439 0.060
2456761.846620 19.505 0.058
2456761.897910 19.700 0.092
2456762.718970 19.520 0.078
2456762.766620 19.731 0.076
2456762.862540 19.491 0.042
2456762.908040 19.471 0.060
2456763.706880 19.878 0.104
2456763.754700 19.437 0.064
2456763.801210 19.504 0.066
2456763.858370 19.604 0.095
2456763.904040 19.532 0.069
2456764.702240 19.868 0.127
2456764.803540 19.565 0.074
2456764.846560 19.716 0.065
2456764.892110 19.875 0.096
2456765.912510 19.472 0.088
2456765.931990 19.699 0.139
2456768.758040 19.632 0.060
2456768.861880 19.453 0.093
2456768.914030 19.716 0.058
2456769.689100 19.464 0.065
2456769.736340 19.709 0.066
2456769.782150 19.797 0.082
2456769.826100 19.470 0.057
2456770.697660 19.766 0.065
2456770.741890 19.565 0.072
