# HJD mag err
2457064.139792 20.000 0.239
2457065.141096 19.844 0.240
2457070.131998 19.910 0.211
2457071.127956 20.272 0.275
2457071.197272 19.707 0.216
2457076.114191 19.817 0.177
2457076.187038 19.691 0.147
2457078.107257 19.773 0.249
2457078.141320 19.695 0.292
2457080.107636 19.693 0.179
2457080.145220 19.529 0.123
2457080.180483 19.611 0.121
2457084.130263 19.882 0.293
2457084.203180 19.912 0.236
2457090.134361 19.898 0.179
2457090.167735 19.514 0.134
2457090.226330 19.523 0.249
2457091.070444 19.775 0.231
2457091.208027 19.736 0.246
2457093.155191 19.846 0.201
2457093.220987 19.879 0.199
2457094.202485 19.491 0.282
2457096.054779 19.796 0.287
2457096.187162 19.547 0.124
2457096.216685 19.575 0.144
2457097.182921 19.693 0.154
2457097.225855 19.790 0.169
2457099.075080 19.760 0.237
2457101.177809 20.119 0.276
2457102.105881 19.709 0.134
2457102.201710 19.729 0.140
2457102.236254 20.167 0.275
2457105.228010 19.597 0.116
2457106.044080 19.795 0.265
2457106.077473 19.624 0.114
2457106.192235 19.729 0.151
2457108.049177 19.694 0.125
2457108.082570 19.537 0.108
2457108.162748 19.786 0.120
2457108.198411 19.806 0.126
2457108.232965 19.547 0.097
2457109.241323 19.884 0.155
2457111.252418 19.551 0.156
2457112.031704 19.823 0.219
2457112.065087 19.674 0.159
2457112.153415 20.001 0.207
2457112.228043 19.831 0.140
2457113.022569 19.919 0.198
2457113.057112 19.520 0.113
2457113.152361 19.842 0.174
2457113.189195 19.861 0.237
2457113.225818 19.863 0.219
2457114.085601 19.486 0.204
2457114.118994 19.753 0.264
2457114.222524 19.721 0.115
2457114.249016 19.464 0.139
2457117.172523 19.809 0.222
2457117.205956 19.952 0.192
2457117.221467 19.953 0.192
2457127.169737 20.031 0.180
2457127.203110 19.438 0.168
2457128.001399 19.446 0.161
2457128.154112 20.134 0.203
2457128.187495 19.673 0.087
2457128.220887 19.727 0.131
2457128.255550 19.876 0.216
2457128.989483 19.540 0.219
2457129.022896 19.751 0.134
2457129.102323 19.761 0.262
2457129.140326 19.534 0.140
2457129.173719 19.726 0.138
2457129.241795 19.824 0.135
2457131.165746 19.623 0.140
2457131.233812 19.474 0.268
2457136.152339 19.709 0.170
2457136.220444 19.745 0.131
2457136.245856 19.940 0.169
2457137.034427 19.643 0.222
