# HJD mag err
2457439.824650 19.425 0.156
2457439.870200 19.738 0.137
2457440.830750 19.591 0.130
2457440.857380 19.760 0.129
2457441.820480 19.568 0.134
2457441.836510 19.717 0.140
2457441.890510 19.656 0.112
2457444.818990 19.708 0.131
2457444.882530 19.624 0.098
2457445.818950 19.746 0.116
2457445.873400 19.587 0.093
2457446.811270 19.567 0.110
2457446.839720 19.557 0.102
2457446.884440 19.748 0.083
2457447.805990 19.628 0.131
2457447.865640 19.621 0.088
2457448.799810 19.645 0.151
2457448.831120 19.552 0.108
2457448.876670 19.663 0.111
2457449.800330 19.602 0.161
2457449.865240 19.638 0.127
2457450.794430 19.593 0.194
2457450.826420 19.608 0.143
2457451.791100 19.427 0.106
2457451.809330 19.497 0.113
2457451.853320 19.715 0.107
2457452.806450 19.646 0.091
2457452.826400 19.584 0.083
2457452.885410 19.708 0.079
2457453.791830 19.667 0.106
2457453.846230 19.698 0.078
2457454.791520 19.565 0.092
2457454.818670 19.645 0.097
2457454.866410 19.705 0.077
2457455.785030 19.725 0.129
2457455.804050 19.910 0.156
2457455.856790 19.541 0.089
2457455.902010 19.677 0.098
2457456.779440 19.721 0.107
2457456.797460 19.559 0.088
2457456.842220 19.628 0.074
2457457.773470 19.651 0.126
2457457.799990 19.727 0.129
2457457.846660 19.629 0.095
2457457.897290 19.625 0.086
2457458.769810 19.630 0.113
2457458.820820 19.520 0.098
2457458.865950 19.667 0.074
2457460.770030 19.668 0.120
2457460.797010 19.554 0.095
2457460.839440 19.626 0.091
2457460.884420 19.556 0.064
2457461.768270 19.483 0.106
2457461.811570 19.692 0.099
2457461.855440 19.612 0.083
2457462.766240 19.564 0.114
2457462.786340 19.557 0.115
2457462.834580 19.712 0.098
2457462.882370 19.801 0.109
2457465.750400 19.522 0.139
2457465.808820 19.520 0.105
2457466.748920 19.697 0.165
2457466.767200 19.549 0.116
2457466.808300 19.627 0.121
2457466.856290 19.525 0.102
2457466.901940 19.655 0.094
2457469.759630 19.569 0.159
2457469.813340 19.587 0.133
2457469.874210 19.574 0.097
2457470.747410 19.406 0.286
2457470.751000 19.452 0.161
2457470.753060 19.699 0.248
2457470.787410 19.447 0.218
