# HJD mag err
2457440.641250 19.542 0.217
2457441.619650 19.454 0.150
2457442.568660 19.545 0.166
2457442.630230 19.469 0.138
2457443.563130 19.450 0.142
2457443.623610 19.448 0.110
2457444.605200 19.658 0.205
2457446.552500 19.837 0.223
2457446.586840 19.551 0.167
2457446.642100 19.514 0.175
2457447.585120 19.380 0.122
2457447.640180 19.585 0.124
2457448.551990 19.432 0.162
2457448.606150 19.587 0.124
2457449.557570 19.767 0.219
2457449.579040 19.411 0.164
2457450.540170 19.570 0.239
2457450.584620 19.470 0.205
2457451.538980 19.485 0.178
2457451.620250 19.581 0.182
2457452.547680 19.491 0.128
2457452.589580 19.614 0.135
2457452.636830 19.478 0.104
2457454.580400 19.636 0.182
2457457.528240 19.587 0.118
2457457.558470 19.450 0.092
2457457.619020 19.407 0.133
2457459.561180 19.868 0.219
2457459.588990 19.575 0.179
2457459.634130 19.617 0.160
2457460.522470 19.712 0.195
2457460.571540 19.799 0.169
2457460.613590 19.603 0.127
2457462.519160 19.584 0.142
2457462.562070 19.848 0.176
2457462.603970 19.589 0.121
2457462.646250 19.468 0.104
2457464.512710 19.461 0.137
2457464.546570 19.549 0.109
2457464.594760 19.593 0.105
2457464.650520 19.567 0.092
2457465.510970 19.388 0.118
2457465.535940 19.627 0.141
2457465.584690 19.595 0.103
2457465.629370 19.401 0.100
2457466.503160 19.322 0.131
2457466.531640 19.524 0.131
2457467.502050 20.130 0.262
2457467.531710 19.504 0.135
2457467.582330 19.650 0.126
2457467.650290 19.573 0.110
2457473.554970 19.392 0.151
2457476.476450 19.952 0.281
2457476.547860 19.428 0.139
2457476.648000 19.649 0.168
2457479.464740 19.439 0.150
2457479.517640 19.557 0.176
2457479.561220 19.542 0.162
2457480.623020 19.767 0.203
2457481.461190 19.655 0.143
2457481.509130 19.674 0.165
2457481.544340 19.840 0.181
2457481.580970 19.654 0.121
2457481.618550 19.507 0.084
2457481.656700 19.725 0.128
2457482.458400 19.315 0.109
2457482.509530 19.435 0.097
2457482.553240 19.768 0.155
2457482.589030 19.798 0.144
2457482.623550 19.487 0.126
2457483.510790 19.861 0.194
2457486.444290 19.429 0.105
2457486.488300 19.369 0.099
2457488.439430 19.788 0.176
2457488.468940 19.531 0.122
2457488.513950 19.376 0.110
2457488.561130 19.467 0.135
2457488.599730 19.662 0.150
2457488.648890 19.469 0.137
2457489.442250 19.665 0.157
2457489.489400 19.504 0.117
2457489.526260 19.494 0.097
2457489.576660 19.464 0.117
2457489.613590 19.479 0.100
2457489.660480 19.885 0.180
2457490.434320 19.910 0.245
2457490.524450 19.471 0.107
2457490.570800 19.492 0.105
2457490.605790 19.588 0.117
2457491.488820 19.596 0.109
2457491.527220 19.574 0.129
2457491.571170 19.687 0.117
2457491.614860 19.477 0.107
2457491.656500 19.520 0.091
2457492.440860 19.559 0.105
2457492.483950 19.572 0.097
2457492.522850 19.654 0.094
2457492.565800 19.544 0.080
2457492.622720 19.499 0.080
2457492.673040 19.509 0.123
2457493.439620 19.572 0.115
2457493.486360 19.538 0.111
2457493.523830 19.572 0.094
2457493.561810 19.500 0.088
2457493.611250 19.605 0.127
2457493.657370 19.415 0.117
2457494.431500 19.578 0.134
2457494.456970 19.518 0.108
2457494.533620 19.422 0.139
2457494.588400 19.559 0.109
2457494.629460 19.473 0.090
2457494.670270 19.587 0.134
2457496.452360 19.286 0.214
2457496.495810 19.667 0.118
2457497.467650 19.321 0.088
2457496.532870 19.465 0.081
2457496.612520 19.510 0.083
2457496.656500 19.442 0.113
2457497.505230 19.586 0.136
2457497.589370 19.532 0.130
2457497.641390 19.615 0.118
2457498.421140 19.423 0.123
2457498.448320 19.508 0.112
2457498.490020 19.528 0.103
2457498.540270 19.643 0.111
2457498.577030 19.541 0.099
2457498.644620 19.384 0.124
2457502.416290 19.834 0.230
2457502.457450 19.535 0.164
2457502.506490 19.408 0.135
2457502.558960 19.618 0.146
2457503.403120 19.494 0.212
2457503.433050 19.616 0.202
2457503.488510 19.296 0.164
2457503.556460 19.291 0.138
2457503.610910 19.659 0.275
2457504.482770 19.470 0.232
2457504.533880 19.514 0.210
2457505.400190 19.618 0.275
2457505.498760 19.370 0.188
2457505.551790 19.442 0.296
2457506.393080 19.650 0.195
2457506.410240 19.349 0.176
2457506.459850 19.357 0.162
2457506.517110 19.565 0.178
2457506.566680 19.530 0.157
2457506.626090 19.572 0.128
2457507.392100 19.443 0.132
2457509.384330 19.257 0.100
2457509.403610 19.589 0.117
2457509.461260 19.530 0.090
2457509.527560 19.394 0.104
