# HJD mag err
2457443.248240 19.550 0.141
2457443.269730 19.368 0.111
2457444.225340 19.370 0.142
2457444.273760 19.489 0.106
2457449.225930 19.601 0.165
2457452.203720 19.485 0.148
2457458.229430 19.678 0.171
2457459.223690 19.794 0.163
2457460.198010 19.382 0.126
2457462.228100 19.741 0.162
2457465.149480 19.670 0.175
2457467.261720 19.555 0.135
2457469.223370 19.795 0.190
2457470.188380 19.483 0.151
2457470.231950 19.731 0.167
2457470.275680 19.628 0.102
2457471.161420 19.745 0.165
2457471.214310 19.458 0.102
2457471.262290 19.524 0.096
2457472.159390 19.378 0.127
2457472.205960 19.385 0.092
2457472.249090 19.395 0.079
2457473.185580 19.801 0.182
2457473.229200 19.591 0.137
2457473.273990 19.696 0.151
2457474.176180 19.680 0.184
2457474.245280 19.716 0.166
2457474.287960 19.618 0.131
2457475.122100 19.511 0.145
2457475.140840 19.698 0.183
2457475.185370 19.692 0.135
2457475.228440 19.481 0.109
2457475.271930 19.693 0.129
2457476.205110 19.581 0.160
2457479.170260 19.582 0.115
2457479.214490 19.531 0.098
2457479.259000 19.490 0.100
2457480.136270 19.482 0.137
2457480.180850 19.631 0.114
2457480.219730 19.497 0.096
2457480.256110 19.668 0.092
2457481.106780 19.640 0.143
2457481.174720 19.678 0.149
2457483.180820 19.433 0.107
2457483.225130 19.786 0.144
2457483.267960 19.843 0.174
2457484.098690 19.760 0.164
2457484.126760 19.437 0.118
2457484.163960 19.720 0.150
2457485.136290 19.462 0.127
2457485.177400 19.363 0.099
2457485.214120 19.399 0.095
2457485.251670 19.464 0.096
2457485.290560 19.381 0.077
2457487.157960 19.784 0.125
2457487.260200 19.520 0.089
2457488.088720 19.553 0.114
2457488.104930 19.650 0.122
2457488.242820 19.742 0.097
2457488.284740 19.596 0.117
2457490.230790 19.656 0.127
2457490.290860 19.387 0.088
2457492.261340 19.307 0.101
2457493.155330 19.535 0.116
2457493.191780 19.384 0.094
2457493.228450 19.495 0.098
2457493.266390 19.446 0.111
2457494.100720 19.396 0.150
2457494.138120 19.444 0.105
2457494.192860 19.412 0.102
2457497.065670 19.345 0.141
2457497.089670 19.720 0.192
2457497.130020 19.365 0.114
2457497.213700 19.430 0.116
2457498.076560 19.685 0.145
2457498.113040 19.485 0.112
2457498.153180 19.596 0.141
2457498.195200 19.421 0.113
2457498.236450 19.393 0.119
2457499.094290 19.446 0.130
2457499.131720 19.545 0.131
2457499.168900 19.368 0.123
2457499.244200 19.552 0.131
2457499.291290 19.506 0.093
2457500.108150 19.374 0.119
2457500.145850 19.265 0.105
2457500.186610 19.446 0.105
2457500.221600 19.414 0.087
2457500.265170 19.594 0.093
2457501.057870 19.374 0.183
2457501.264170 19.613 0.182
2457506.143860 19.569 0.181
2457507.038110 19.486 0.130
2457507.093390 19.652 0.135
2457507.140630 19.581 0.163
2457507.190460 19.665 0.186
2457512.158590 19.542 0.138
2457512.204490 19.451 0.130
2457512.303540 19.548 0.139
2457513.021800 19.334 0.134
2457513.078730 19.565 0.116
2457513.129580 19.569 0.115
2457513.180510 19.446 0.083
2457513.236350 19.482 0.098
2457513.292730 19.491 0.094
2457514.019360 19.564 0.140
2457514.074530 19.382 0.101
2457514.121930 19.625 0.159
2457514.169080 19.731 0.125
2457514.265240 19.428 0.099
2457515.016900 19.469 0.152
2457515.077320 19.403 0.103
2457515.129870 19.251 0.097
2457515.179260 19.378 0.090
2457515.237000 19.425 0.106
2457515.284730 19.399 0.106
2457521.997560 19.501 0.140
2457522.104960 19.488 0.111
2457522.199520 19.387 0.118
2457522.252470 19.523 0.130
2457522.300410 19.394 0.138
2457522.994930 19.316 0.110
2457523.055960 19.380 0.096
2457523.106220 19.312 0.073
2457523.182420 19.343 0.099
2457523.235000 19.213 0.066
2457523.284910 19.497 0.107
2457527.182480 19.368 0.136
2457527.276060 19.449 0.134
2457528.019220 19.501 0.167
2457528.064970 19.393 0.147
2457529.082770 19.557 0.167
2457538.020840 18.953 0.077
2457538.131370 19.202 0.081
2457538.178290 19.105 0.071
2457538.225620 19.152 0.075
2457538.277000 19.134 0.084
2457539.076870 19.100 0.083
2457539.133150 19.056 0.085
2457539.183330 18.978 0.084
2457539.240760 19.282 0.099
2457539.949000 19.204 0.089
2457540.006840 19.194 0.085
2457540.055550 19.335 0.072
2457540.104120 19.230 0.069
2457540.157270 19.145 0.084
2457540.211540 19.227 0.091
2457540.259480 19.200 0.092
2457551.940070 18.330 0.049
2457551.956840 18.429 0.053
2457552.055400 18.334 0.046
2457552.103760 18.268 0.038
2457552.150670 18.300 0.045
2457552.942990 18.240 0.038
2457552.986940 18.140 0.035
2457553.035390 18.202 0.029
2457553.087780 18.230 0.032
2457553.147760 18.175 0.035
2457553.199810 18.261 0.038
2457553.249140 18.216 0.039
2457554.084120 18.124 0.048
2457554.180330 18.155 0.027
2457554.940170 18.142 0.037
2457554.983220 18.129 0.037
2457555.035170 18.081 0.034
2457555.087050 18.090 0.036
2457555.138220 18.044 0.026
2457555.174490 18.041 0.027
2457555.222970 18.052 0.031
2457565.174140 19.087 0.071
2457565.225350 19.315 0.102
2457568.871370 19.356 0.127
2457568.898210 19.303 0.113
2457568.934890 19.313 0.104
2457568.968890 19.213 0.089
2457569.004560 19.345 0.100
2457569.039040 19.235 0.074
2457569.073940 19.132 0.078
2457569.109280 19.199 0.086
2457569.144230 19.080 0.085
2457569.178850 19.113 0.083
2457569.213540 19.476 0.127
2457570.020130 19.304 0.099
2457570.055240 19.183 0.091
2457570.090590 19.084 0.076
2457573.006790 19.239 0.084
2457573.047130 19.214 0.096
2457573.082360 19.266 0.089
2457573.117070 19.302 0.100
