# HJD mag err
2457445.875160 19.272 0.231
2457454.820770 19.678 0.183
2457457.899100 19.661 0.194
2457466.858050 19.323 0.235
2457475.856100 19.081 0.274
2457481.808720 19.200 0.144
2457486.905480 19.658 0.229
2457487.861530 19.653 0.232
2457491.757570 19.453 0.165
2457494.891170 19.329 0.120
2457498.900660 19.708 0.289
2457508.665960 19.509 0.199
2457509.722360 19.290 0.138
2457523.824850 19.222 0.141
2457526.858720 19.186 0.190
2457534.757890 19.172 0.226
2457536.766320 19.152 0.202
2457547.761870 18.265 0.075
2457548.802090 18.343 0.072
2457554.649340 18.023 0.080
2457555.754780 17.946 0.073
2457558.543520 17.142 0.094
2457566.546440 19.119 0.162
2457568.802100 19.562 0.257
2457569.805770 19.189 0.221
2457575.785370 19.611 0.190
2457595.545910 19.490 0.283
2457599.493730 19.511 0.141
2457600.565880 19.503 0.107
2457601.675560 18.960 0.258
2457603.692680 19.236 0.111
2457607.484140 19.593 0.147
2457608.561030 19.401 0.178
2457609.663700 20.047 0.243
2457613.605650 19.040 0.252
2457621.516490 19.569 0.252
2457622.638840 19.328 0.289
2457625.550330 19.543 0.181
2457630.632110 19.326 0.126
2457657.572540 19.446 0.186
2457661.543920 19.649 0.282
