# HJD mag err
2457464.652540 19.185 0.184
2457465.538040 19.244 0.246
2457482.511220 19.647 0.289
2457491.572710 19.541 0.242
2457496.614280 19.337 0.205
2457520.483340 19.278 0.294
2457538.333110 18.969 0.177
2457541.538140 18.027 0.056
2457546.468770 18.603 0.094
2457552.520610 18.088 0.088
2457557.494590 17.735 0.186
2457562.268510 18.942 0.288
2457569.533210 19.239 0.197
2457574.385210 19.470 0.213
2457577.461980 19.127 0.170
2457580.283600 19.610 0.280
2457606.352030 19.614 0.212
2457610.354490 19.806 0.292
2457625.380230 19.297 0.155
2457629.409410 19.191 0.276
