                                mean     sd       hdi_3%      hdi_97%  mcse_mean  mcse_sd  ess_bulk  ess_tail  r_hat
star.radius[0]                 1.610  0.000        1.610        1.610      0.000    0.000      12.0      20.0   2.24
star.mass[0]                   1.204  0.000        1.204        1.204      0.000    0.000      11.0      20.0   3.00
star.teff[0]                6206.999  0.015     6206.976     6207.022      0.005    0.002      12.0      28.0   2.35
star.feh[0]                   -0.116  0.000       -0.116       -0.116      0.000    0.000      13.0      39.0   1.88
star.age[0]                    4.598  0.004        4.592        4.606      0.001    0.000      19.0      47.0   1.29
star.initfeh[0]               -0.100  0.023       -0.144       -0.070      0.006    0.004      14.0      28.0   1.67
orbit.logP[0]                  0.476  0.000        0.476        0.476      0.000    0.000      25.0      30.0   1.20
orbit.tc_base[0]           -3809.698  0.000    -3809.698    -3809.698      0.000    0.000      20.0      61.0   1.19
orbit.cosi[0]                  0.120  0.000        0.120        0.120      0.000    0.000      12.0      20.0   1.99
orbit.secosw[0]                0.010  0.001        0.009        0.011      0.000    0.000      11.0      30.0   3.66
orbit.sesinw_raw[0]            0.010  0.000        0.009        0.010      0.000    0.000      14.0      61.0   1.65
planet.radius[0]               0.175  0.000        0.175        0.175      0.000    0.000      17.0      61.0   1.35
planet.mass[0]                 0.001  0.000        0.001        0.001      0.000    0.000      13.0      20.0   1.86
inst.gamma[0]                  0.000  0.000        0.000        0.000      0.000    0.000      12.0      39.0   2.23
inst.jitter_variance[0]        0.000  0.000        0.000        0.000      0.000    0.000      58.0      64.0   1.05
orbit.period[0]                2.989  0.000        2.989        2.989      0.000    0.000      25.0      30.0   1.20
orbit.tc[0]              2456190.302  0.000  2456190.302  2456190.302      0.000    0.000      20.0      61.0   1.19
